In total we have 42407 words in this dataset
The initialization was done in [10813267 ms]
At the train f-ion() of MultinomialNB_Email class countOfLessThanFive=32142
The features with the top 2047 highest mutual information are:

        Feature           Info Gain         Log(P(Ham|Word))        Log(P(Spam|Word))
      broadband             130.641                 -3.47338                 -5.56103
          issue             130.528                  -3.1369                 -3.59583
      associate             130.474                 -3.11126                 -5.01449
              y               130.4                  -5.5348                 -2.47829
           away             130.392                 -4.84165                 -3.11474
   transactions              130.38                  -3.2251                 -4.29536
        welcome             130.376                 -5.03836                  -3.2861
      photoshop             130.366                 -8.17386                 -3.38422
    dysfunction             130.366                 -8.17386                 -4.07736
        weekend              130.32                 -4.18487                 -6.08712
            150             130.307                 -5.97663                 -3.59583
           city             130.307                 -5.87127                 -3.45912
             60             130.242                 -5.22942                 -3.36887
        overall             130.169                 -4.07951                 -5.70763
          karen             130.154                 -4.18487                 -7.55346
           real              130.11                 -4.26183                 -2.53398
         health             130.093                 -6.56442                 -3.45358
       listinfo             130.027                 -8.17386                 -4.10878
           phil             130.026                 -4.67735                 -7.95893
           huge             130.009                 -6.09442                 -3.48729
              o              129.93                   -3.663                 -2.39824
         sunday             129.832                 -4.13081                 -6.86031
          stand             129.827                 -5.68895                 -3.55221
        message             129.815                 -2.75332                 -1.62476
        limited             129.772                 -5.28349                 -3.02445
          level             129.765                 -2.91117                 -3.73209
      customers             129.752                 -3.60951                 -2.60944
          these             129.728                 -1.74092                  -1.8519
   spamassassin             129.688                 -8.17386                 -4.03695
       erectile             129.688                 -8.17386                 -4.10878
          needs             129.676                 -2.99207                 -3.69625
           both             129.663                 -2.81727                 -3.18824
        closely             129.647                 -4.36719                 -6.08712
          books             129.564                  -3.1369                 -4.52494
       activity             129.418                 -3.32183                 -4.66309
      countries             129.414                 -6.09442                 -3.55832
           draw               129.4                 -6.78756                 -3.80004
   dramatically               129.4                 -6.78756                 -3.88139
             un             129.349                 -8.17386                 -3.66164
         dinner             129.306                 -3.83005                 -6.86031
           meet             129.303                 -2.95892                 -3.69625
           even             129.254                 -3.99947                 -2.43947
            250             129.187                 -6.56442                 -3.68226
      sponsored             129.123                 -7.07525                 -3.96073
           talk             129.118                 -3.60951                 -4.33459
       november             129.105                 -3.48251                 -5.56103
       charlene             129.059                 -4.59034                 -8.65207
       albrecht             129.059                  -4.5103                 -8.65207
          naomi             129.059                 -4.67735                 -8.65207
        connell             129.059                 -4.84165                 -8.65207
           4585             129.059                 -4.91576                 -8.65207
       sorenson             129.059                 -4.30266                 -8.65207
        acrobat             129.011                 -8.17386                 -4.01734
           wiii             129.011                 -8.17386                 -4.13029
          bryce             129.002                 -4.38967                 -7.55346
          white             128.862                 -3.65207                 -4.24535
           text             128.861                 -5.46581                 -3.24043
         debbie             128.848                 -4.34522                 -7.95893
         design             128.834                 -4.67735                 -3.07612
       together             128.823                 -3.34554                 -4.20942
        formats               128.8                 -7.07525                 -3.97924
          perez             128.724                  -4.5103                 -6.86031
             90             128.702                 -5.12934                 -2.51219
          toois             128.672                 -8.17386                 -4.15226
          shops             128.672                 -8.17386                 -4.15226
          agree             128.433                 -4.01497                 -5.25088
       websites              128.39                 -7.48071                 -3.95159
              #             128.388                 -3.63056                 -1.64447
           last             128.358                  -2.6209                 -2.94829
          ciick             128.334                 -8.17386                 -3.88139
        advisor             128.334                 -8.17386                 -4.06711
            205             128.334                 -8.17386                 -4.08773
    advertising             128.256                 -6.56442                 -3.15082
         agenda             128.238                 -4.22261                 -6.25418
            jan              128.22                 -4.30266                 -6.70616
          larry              128.22                 -4.16652                 -6.45485
       approach             128.195                 -3.84312                 -5.56103
           only              128.01                 -2.57174                 -1.47048
       shlpplng             127.996                 -8.17386                 -4.17474
       encoding             127.996                 -8.17386                 -4.13029
        content             127.986                 -4.77266                 -2.68337
        edition             127.946                 -6.56442                 -3.64144
          focus              127.93                 -3.49173                 -4.38939
           book             127.881                 -2.57174                 -3.64144
             31             127.874                 -3.35358                 -3.81579
       staffing             127.853                 -4.43619                 -7.26578
   communicated             127.853                 -4.70812                 -7.55346
          curry             127.853                  -4.6475                 -7.55346
           hirl             127.853                 -4.80656                 -8.65207
            enw             127.853                 -3.42893                 -8.65207
       marshall             127.853                  -4.6475                 -8.65207
      mcconnell             127.853                 -4.87802                 -8.65207
           bibi             127.853                 -4.91576                 -8.65207
       positive              127.84                 -5.40127                 -3.43714
         entity             127.811                 -4.20357                 -6.70616
       separate             127.808                 -4.36719                 -5.87948
           port             127.808                 -4.03072                 -6.08712
        company             127.709                 -2.97536                 -1.09304
      schedules             127.674                 -4.70812                 -7.95893
         pearce             127.674                 -4.56294                 -7.95893
        forster             127.674                 -4.67735                 -7.95893
        without              127.66                 -3.95435                 -2.52302
      copyright             127.658                 -8.17386                  -4.0982
           mime             127.658                 -8.17386                 -3.99811
        rebecca             127.621                 -4.46029                 -6.45485
        correct             127.564                 -4.01497                 -5.35624
      suggested             127.526                 -4.32371                 -6.08712
      investing             127.511                 -6.78756                 -3.52811
         option             127.493                 -3.69652                 -5.35624
        however             127.484                 -3.09868                 -3.66847
           back             127.433                 -2.64047                  -2.9155
           just             127.431                 -2.46343                 -1.36794
     supporting             127.429                 -4.36719                 -5.94402
       managers             127.429                 -3.96916                 -5.35624
           deal             127.367                 -2.64443                 -3.60222
           form             127.323                 -3.57874                 -2.51435
          hours             127.317                 -4.28204                 -2.84393
            sum              127.19                 -7.07525                 -3.73209
          flows             127.138                 -3.84312                 -6.86031
    implemented             127.105                 -4.59034                 -7.26578
            age             127.074                 -5.77596                 -3.83989
         sexual             126.984                 -8.17386                 -3.99811
              Æ             126.984                 -8.17386                 -3.47592
           male             126.984                 -8.17386                 -3.79226
         sender             126.869                 -7.07525                 -3.94254
             pc             126.746                 -7.48071                 -3.79226
     submitting             126.712                 -6.56442                 -3.90714
           ever             126.652                 -5.12934                 -3.07612
         sitara             126.649                 -4.24203                 -8.65207
       premiere             126.646                 -8.17386                 -3.18824
           0000             126.646                 -8.17386                 -3.01728
         motion             126.646                 -8.17386                 -4.20942
        sampies             126.646                 -8.17386                 -4.22126
         mailer             126.646                 -8.17386                 -3.99811
           dose             126.646                 -8.17386                 -3.55221
        kitchen             126.523                 -4.48498                 -6.70616
            jay             126.503                 -4.73987                 -7.95893
   interviewing             126.503                 -4.77266                 -7.95893
        samples             126.418                 -7.07525                  -4.0271
            140             126.418                 -7.07525                 -3.47029
           they             126.395                 -1.83703                 -1.73635
          yours             126.352                 -6.09442                 -3.76927
        regards             126.337                 -2.55346                   -2.797
        instant              126.31                 -8.17386                 -3.59583
           hand              126.18                 -4.80656                 -3.23154
     profitable              126.09                 -7.48071                  -4.0271
           bulk              126.09                 -7.48071                 -3.64813
             be             126.064                -0.234699                -0.267041
accomplishments             126.063                 -4.46029                 -6.86031
          check             126.059                 -4.28204                 -2.79414
       powerful              126.05                  -6.3821                 -3.73942
        patrick             125.988                 -4.67735                 -7.26578
   conversation             125.974                 -4.56294                 -6.34949
            sir             125.973                 -8.17386                 -4.22126
         visuai             125.973                 -8.17386                 -4.24535
        friends             125.936                 -6.78756                  -3.8899
            usa             125.909                 -7.07525                 -3.51628
            115             125.909                 -7.07525                 -3.83989
            135             125.763                 -7.48071                 -4.15226
           card             125.741                 -5.17813                 -2.92523
            org              125.72                 -4.84165                 -3.12264
       external             125.694                 -4.41266                 -6.45485
    subscribers             125.637                 -8.17386                  -3.8899
         moving             125.616                 -4.11341                 -5.47402
           trip             125.582                 -3.96916                 -6.01302
          carol             125.568                 -4.77266                 -7.26578
          mason             125.568                 -4.73987                 -7.55346
            eim             125.449                 -4.01497                 -8.65207
      headcount             125.449                 -4.70812                 -8.65207
      hickerson             125.449                 -4.70812                 -8.65207
        superty             125.449                 -4.84165                 -8.65207
           gros             125.449                 -4.84165                 -8.65207
         secret             125.436                 -7.48071                  -3.8899
            130             125.436                 -7.48071                 -4.14121
         regard             125.418                 -4.16652                  -5.7617
        protect             125.312                 -6.78756                 -3.67534
         native             125.301                 -8.17386                 -4.27005
     quickbooks             125.301                 -8.17386                 -4.27005
      sightings             125.301                 -8.17386                 -4.23323
  mailwisconsin             125.301                 -8.17386                 -3.60222
       castillo             125.301                 -8.17386                 -4.27005
           were             125.295                 -2.33031                 -2.79987
      insurance             125.196                 -5.97663                 -3.02806
         follow             125.152                 -3.36167                 -3.52217
         emails             125.149                  -6.3821                  -3.2494
       invested             125.149                  -6.3821                 -3.87295
             sf             125.109                 -7.07525                 -3.69625
          event             125.095                 -3.70795                 -4.55773
         income             125.082                 -5.60891                 -3.03167
        markets             125.041                 -3.05586                 -3.99811
       position             125.027                  -2.6726                 -3.38422
     assessment             124.993                 -4.11341                 -6.45485
       portland             124.993                 -4.03072                 -6.86031
  understanding             124.979                 -4.01497                 -5.09673
   squirrelmail             124.965                 -8.17386                 -3.19249
  authenticated             124.965                 -8.17386                 -4.28263
            gzo             124.965                 -8.17386                 -4.27005
         prlces             124.965                 -8.17386                 -4.28263
       saturday             124.821                 -3.96916                 -6.08712
          cross             124.821                 -3.83005                 -6.25418
         amount             124.798                 -4.48498                 -3.01372
         browse             124.783                 -7.48071                 -4.17474
        between             124.711                 -3.29106                 -3.81579
        promise             124.629                 -8.17386                 -3.79226
       audition             124.629                 -8.17386                 -4.29536
        painter             124.629                 -8.17386                 -4.29536
            119             124.629                 -8.17386                 -4.29536
        reqards             124.629                 -8.17386                 -4.29536
         effort             124.597                 -3.51042                 -4.17474
          point             124.544                 -3.27602                 -3.95159
      sincerely             124.534                 -5.08282                 -3.41033
       december             124.509                 -3.65207                 -5.65634
         differ             124.457                 -7.48071                 -3.88139
       property             124.457                 -7.48071                 -3.71043
         sydney             124.433                 -4.07951                 -7.55346
       reminder             124.367                 -4.56294                 -6.57263
    perspective             124.367                 -4.59034                 -6.57263
      valuation             124.367                 -4.06298                 -6.45485
    outsourcing             124.344                 -4.30266                 -6.45485
          lewis             124.344                 -4.43619                 -6.86031
      attendees             124.344                 -4.53627                 -6.57263
            240             124.317                 -7.07525                 -4.08773
     framemaker             124.294                 -8.17386                 -4.30827
   prescription             124.294                 -8.17386                 -4.11947
      languages             124.294                 -8.17386                 -4.30827
         norton             124.265                  -6.3821                 -3.76172
             he             124.254                 -2.08936                 -2.34945
           pulp             124.251                 -4.67735                 -8.65207
        clarify             124.251                 -5.12934                 -8.65207
          bowen             124.251                 -4.84165                 -8.65207
         erland             124.251                 -4.80656                 -8.65207
    recognizing             124.251                 -5.12934                 -8.65207
          norma             124.251                 -4.91576                 -8.65207
        phillip             124.172                  -4.5103                 -7.55346
       invoices             124.172                 -4.61851                 -7.55346
        ordered             124.131                 -7.48071                 -3.98863
             sp             124.131                 -7.48071                 -3.89848
            rac             124.131                 -3.35358                 -4.72025
          trust             124.068                 -6.78756                 -3.79226
        meaning             124.068                 -6.78756                 -3.77688
     membership             124.068                 -5.46581                  -3.2768
           xara             123.958                 -8.17386                 -4.32134
            550             123.958                 -8.17386                 -4.14121
           helo             123.958                 -8.17386                 -4.18617
        quicken             123.958                 -8.17386                 -4.32134
          death             123.958                 -8.17386                 -4.16344
   subscription             123.958                 -8.17386                 -4.11947
     investment             123.905                  -4.5103                  -2.1751
            214             123.806                 -7.07525                 -4.16344
          which             123.797                 -1.86576                 -1.80301
         campus             123.769                 -4.48498                 -7.26578
         joseph             123.738                 -4.43619                 -6.01302
           lead             123.686                 -3.79183                 -4.43257
         wanted             123.674                 -3.61998                 -4.29536
      marketinq             123.624                 -8.17386                 -4.33459
           oniy             123.624                 -8.17386                 -4.33459
    dreamweaver             123.624                 -8.17386                 -4.33459
      committee             123.608                 -3.68522                 -5.18634
      addressed             123.602                  -4.5103                 -6.70616
         values             123.602                 -4.20357                 -6.70616
            110             123.481                 -7.48071                 -4.13029
            set             123.472                 -2.88559                 -3.44259
       possible             123.469                  -3.0148                 -3.38938
            men             123.467                 -5.87127                 -3.52217
        premier              123.45                 -5.68895                  -4.0271
       addition             123.439                 -3.71951                 -4.70083
          thank              123.43                 -2.62478                 -2.77714
           sell             123.359                 -5.22942                 -3.02806
     attachment             123.344                 -4.41266                 -6.34949
         mirror             123.303                  -4.9958                 -7.26578
        comment             123.303                 -4.87802                 -7.55346
         viaqra             123.289                 -8.17386                 -4.34801
          riqht             123.289                 -8.17386                 -4.34801
    successfull             123.289                 -8.17386                 -4.34801
       homesite             123.289                 -8.17386                 -4.34801
       security             123.125                 -4.06298                 -2.11538
            him             123.124                 -2.95892                 -3.58948
       personal             123.062                 -4.87802                 -3.19249
        perkins             123.056                 -4.84165                 -8.65207
      milnthorp             123.056                 -4.91576                 -8.65207
         torrey             123.056                 -4.84165                 -8.65207
         moorer             123.056                 -4.95498                 -8.65207
          lloyd             123.056                 -4.91576                 -8.65207
        elliott             123.012                  -4.6475                 -7.95893
        setting             122.984                 -4.61851                 -6.25418
             lf             122.955                 -8.17386                 -4.01734
              w             122.906                 -3.05586                 -3.69625
        partner             122.887                 -5.40127                 -3.43172
            job             122.872                 -3.38637                 -3.83179
          extra             122.836                 -5.60891                 -3.53408
         advise             122.778                 -4.53627                 -6.08712
           earn             122.735                 -7.07525                 -3.76927
            mix             122.735                 -7.07525                 -4.15226
      wholesale             122.729                 -3.43766                 -4.68178
         george             122.681                 -4.20357                 -5.47402
          adams             122.668                 -4.59034                 -7.04264
        carefui             122.621                 -8.17386                 -4.37541
     protection             122.621                 -8.17386                 -4.20942
          donna             122.566                  -4.5103                 -6.70616
         lowest              122.42                 -7.07525                 -4.06711
        minutes             122.408                 -4.67735                 -3.22712
           stop             122.358                 -5.28349                 -3.47592
            125             122.278                 -6.22795                 -3.82376
        systems             122.275                 -3.14342                  -3.2768
             18             122.268                 -2.96437                 -3.52217
        unknown             122.218                 -6.78756                 -3.81579
      performed             122.189                 -4.77266                 -7.04264
             vl             122.186                 -6.78756                 -4.24535
             fl             122.186                 -7.48071                 -4.01734
         friend              122.18                 -6.22795                 -3.82376
           kind             121.997                 -5.40127                 -3.50458
              s             121.993                -0.837572                -0.505075
           sais             121.953                 -8.17386                 -4.40358
            koi             121.953                 -8.17386                 -4.40358
             um             121.953                 -8.17386                 -4.36161
      practices             121.898                 -4.56294                 -6.16717
         points             121.882                 -4.13081                 -5.65634
          oxley             121.864                  -4.9958                 -8.65207
        carolyn             121.864                 -5.03836                 -8.65207
        cousino             121.864                 -4.95498                 -8.65207
     villarreal             121.864                 -5.03836                 -8.65207
 reconciliation             121.864                 -4.41266                 -8.65207
          rahil             121.864                 -4.18487                 -8.65207
         french             121.863                 -7.48071                 -4.28263
     meaningful             121.858                 -5.08282                 -7.95893
     assignment             121.858                 -5.03836                 -7.95893
         cheryl             121.858                 -4.95498                 -7.95893
          piper             121.858                 -4.77266                 -7.95893
          teams             121.829                 -4.13081                 -5.51658
    initiatives             121.821                 -4.77266                 -6.86031
     interviews             121.789                 -3.84312                 -5.60755
          seems             121.761                 -4.14851                 -5.87948
      advantage             121.752                 -5.68895                  -3.5769
    communicate             121.749                 -4.43619                 -5.81886
     individual             121.732                 -3.75502                 -4.37541
          night             121.693                 -3.57874                  -4.9144
        january             121.681                 -3.84312                 -5.06855
             so             121.672                 -1.89159                  -1.7635
         simple             121.646                  -5.5348                  -3.2861
        miiiion              121.62                 -8.17386                 -4.41797
     convinient              121.62                 -8.17386                 -4.41797
          davis             121.573                  -4.9958                 -6.86031
       struggle              121.54                 -7.48071                 -4.29536
  announcements             121.537                 -4.84165                 -6.70616
            key             121.498                 -3.37807                 -3.92469
         advice             121.479                 -5.77596                 -3.04995
       managing             121.431                 -3.45536                 -4.72025
              t             121.402                 -2.23632                 -1.32692
          press             121.299                 -6.09442                 -3.55221
          takes             121.214                 -5.77596                 -3.68226
         limits             121.152                 -3.99947                 -6.08712
          spoke             121.152                 -4.59034                 -6.45485
            sue             121.152                 -4.43619                 -6.45485
          store             121.128                 -6.22795                 -3.55832
             22             121.075                 -3.07399                 -3.80789
         intern             121.058                 -4.77266                 -7.55346
              >             121.043                 -1.05828                 -2.01089
        whether             121.029                 -3.67405                 -4.47769
           make             120.975                  -2.6726                 -1.51162
         heaven             120.955                 -8.17386                 -3.75423
             va             120.955                 -8.17386                 -4.44738
          alias             120.955                 -8.17386                 -4.44738
      direction             120.952                 -4.34522                 -5.70763
      indicated             120.952                 -4.34522                 -5.56103
     throughout             120.902                 -4.41266                 -5.12571
        planned             120.847                 -4.56294                 -5.94402
           note             120.806                 -2.84598                  -3.2861
    adjustments             120.708                 -4.56294                 -7.95893
       meantime             120.708                 -5.12934                 -7.95893
           neil             120.677                 -4.77266                 -8.65207
        cynthia             120.677                 -4.95498                 -8.65207
          duran             120.677                 -5.28349                 -8.65207
           gail             120.677                 -5.17813                 -8.65207
         frusco             120.677                 -5.22942                 -8.65207
 commoditylogic             120.677                  -4.6475                 -8.65207
         module             120.677                 -4.61851                 -8.65207
     incredibly             120.658                 -6.56442                 -4.10878
        mailbox             120.622                 -8.17386                 -4.33459
 pharmaceutical             120.622                 -8.17386                 -4.46242
            use             120.533                 -2.94811                 -1.98639
         middle             120.521                 -3.95435                 -5.35624
       sometime             120.485                 -5.03836                 -7.26578
             15             120.436                  -2.6808                 -2.89002
           lose             120.413                 -5.68895                 -3.28144
          woman             120.386                 -5.34064                 -4.14121
         create             120.294                  -3.5199                 -3.63479
           1000             120.254                 -7.48071                 -3.96073
      presently             120.229                 -7.07525                 -4.16344
           fees             120.178                 -5.68895                 -3.80004
        managed             120.154                 -4.46029                 -5.31987
           smtp             120.083                 -5.97663                 -3.66164
             87             120.065                 -6.56442                 -4.11947
           soft             119.988                 -6.09442                 -3.36381
            and             119.959                 0.753191                  1.10361
     errrectlon             119.959                 -8.17386                 -4.49319
         cialls             119.959                 -8.17386                 -4.23323
       overview             119.945                 -4.59034                 -6.08712
        oversee             119.945                 -5.08282                 -7.55346
          tokyo             119.945                 -4.41266                 -7.55346
       ordering             119.934                 -7.48071                  -3.8899
            ave             119.934                 -7.48071                 -4.33459
         visual             119.918                 -6.78756                 -3.75423
    significant             119.885                 -3.75502                 -4.38939
            pay             119.851                 -4.77266                 -3.02086
         insure             119.742                 -4.43619                 -6.25418
         couple             119.692                 -4.20357                 -5.25088
        readers             119.628                 -8.17386                 -4.06711
        profits             119.628                 -8.17386                  -4.0982
           horn             119.564                 -5.03836                 -7.95893
          bryan             119.564                 -4.84165                 -6.86031
          hardy             119.564                 -4.67735                 -7.95893
         curves             119.564                 -4.77266                 -7.95893
           send             119.538                 -3.39473                 -1.83643
           told             119.505                 -3.86979                  -4.5412
        liquids             119.503                 -4.53627                 -6.70616
          jafry             119.493                 -4.91576                 -8.65207
          bjorn             119.493                 -4.95498                 -8.65207
          fiona             119.493                  -4.9958                 -8.65207
         belden             119.493                 -4.46029                 -8.65207
          lowry             119.493                 -4.95498                 -8.65207
           erms             119.493                  -4.5103                 -8.65207
       brackett             119.493                 -4.87802                 -8.65207
          denny             119.493                 -5.03836                 -8.65207
    orientation             119.493                 -5.12934                 -8.65207
          calme             119.493                 -5.03836                 -8.65207
          pleus             119.493                 -4.80656                 -8.65207
         gpgfin             119.493                  -4.6475                 -8.65207
     clickpaper             119.493                 -4.38967                 -8.65207
       rotation             119.493                 -5.28349                 -8.65207
            one             119.473                 -2.09851                  -1.2309
       assigned             119.404                 -4.91576                 -7.26578
           nice             119.402                 -4.77266                 -3.43172
      permanent             119.354                 -5.46581                 -3.82376
        lenders             119.297                 -8.17386                 -4.33459
      invisible             119.297                 -8.17386                 -4.47769
          drugs             119.297                 -8.17386                 -4.38939
           1934             119.295                 -7.48071                 -4.37541
       everyone             119.274                 -3.55874                 -3.96994
          sheet             119.196                 -4.24203                 -5.25088
           seek             119.157                 -5.68895                 -3.77688
        effects             119.141                 -6.22795                 -4.03695
       national             119.069                 -6.09442                 -3.67534
           them             119.019                 -2.41496                 -2.28389
             ou             119.011                 -3.70795                 -5.35624
           guys             119.011                 -4.26183                 -5.31987
         detail             119.011                 -4.34522                 -5.39398
       harrison             119.008                 -4.84165                 -6.86031
            ken             119.008                 -4.61851                 -6.70616
        nothing             118.995                 -4.91576                 -3.37396
      localized             118.988                 -7.07525                 -3.64813
           mens             118.988                 -7.07525                 -4.32134
      discounts             118.988                 -6.56442                 -4.28263
           1933             118.976                 -7.48071                 -3.96073
         august             118.968                  -3.8834                 -4.44738
      construed             118.966                 -8.17386                 -4.52494
     turnaround             118.966                 -8.17386                  -4.5412
     disclaimer             118.966                 -8.17386                 -4.49319
         weekly              118.91                 -3.55874                 -4.57454
        capture             118.889                 -4.09632                 -5.47402
             at             118.883                -0.998368                -0.791117
          media              118.86                 -5.97663                 -2.97875
            own             118.859                 -4.07951                 -2.63105
         assess             118.839                 -4.87802                 -7.55346
         justin             118.839                 -4.95498                 -7.26578
         myself             118.833                  -3.9842                 -4.47769
       directly              118.77                 -3.71951                 -4.15226
           love             118.748                  -4.9958                 -3.31935
            not             118.692                 -0.93968                 -0.45206
      specially             118.636                 -8.17386                 -4.55773
           ioqo             118.636                 -8.17386                 -4.36161
         senior              118.63                 -3.54888                 -4.82343
             14               118.6                 -3.07399                 -3.56448
           wait             118.564                  -4.9958                 -3.48729
     monitoring             118.499                 -4.67735                 -6.57263
          evans             118.499                 -4.87802                 -6.70616
        briefly             118.426                 -5.28349                 -7.95893
    supervisors             118.426                 -4.67735                 -7.95893
       somewhat             118.426                 -5.28349                 -7.95893
       bradford             118.426                 -5.08282                 -7.95893
       notional             118.426                 -5.12934                 -7.95893
        imagine             118.411                  -6.3821                 -4.07736
        regions             118.342                 -4.77266                 -6.34949
       focusing             118.342                 -4.91576                 -6.57263
    participant             118.331                 -5.03836                 -7.04264
          sarah             118.331                 -4.91576                 -7.04264
          swaps             118.314                  -4.9958                 -8.65207
        retains             118.314                 -5.40127                 -8.65207
        fleming             118.314                 -5.03836                 -8.65207
            mtm             118.314                 -4.73987                 -8.65207
        coralie             118.314                 -5.34064                 -8.65207
       risktrac             118.314                 -4.53627                 -8.65207
      westbrook             118.314                 -5.12934                 -8.65207
          desks             118.314                  -4.9958                 -8.65207
        celeste             118.314                 -5.08282                 -8.65207
        hedging             118.314                 -5.17813                 -8.65207
         calger             118.314                 -5.28349                 -8.65207
           nath             118.314                 -5.08282                 -8.65207
         carrie             118.314                 -5.28349                 -8.65207
        kathryn             118.314                 -4.84165                 -8.65207
          brinq             118.306                 -8.17386                 -4.57454
           want             118.305                 -2.74014                 -1.78723
            bed             118.303                  -6.3821                 -3.99811
       thinking             118.299                 -5.34064                 -3.64813
         herein             118.277                 -6.78756                 -3.79226
          since             118.266                 -2.96985                 -3.25845
          tools             118.233                 -5.12934                 -3.60865
            box              118.23                 -5.17813                  -3.3998
         around             118.187                 -3.26858                 -3.68226
        helpful             118.173                 -4.48498                 -5.94402
           able             118.159                 -3.09868                 -3.28144
         resume             118.159                 -3.84312                  -5.7617
       findings             118.159                 -4.28204                 -6.34949
     understand             118.135                 -3.46433                 -4.01734
     completion             118.132                  -4.5103                 -5.87948
          areas             118.069                 -3.71951                 -4.86788
           wife             118.064                 -6.78756                 -4.25762
            due             118.026                 -2.90086                  -3.1069
       investor             118.011                 -6.56442                 -3.51628
     government             117.988                 -5.34064                 -2.94496
          tried             117.988                 -5.40127                 -3.66847
        seconds             117.978                 -6.78756                 -4.25762
   contemporary             117.977                 -8.17386                 -4.59163
             sh             117.977                 -8.17386                 -4.52494
       eiements             117.977                 -8.17386                 -4.32134
       supports             117.964                 -5.03836                 -6.70616
   arrangements             117.964                 -4.91576                 -7.04264
         define             117.964                 -4.84165                 -7.04264
      extension             117.964                 -4.80656                 -6.70616
          scope             117.964                 -4.84165                 -7.04264
      jefferson             117.964                 -4.38967                 -7.04264
    preliminary             117.964                 -4.56294                 -7.04264
       increase             117.922                 -4.03072                 -2.86825
 administration             117.845                 -4.46029                 -5.25088
         owners             117.757                 -7.07525                 -4.23323
        thought             117.661                 -3.67405                 -4.16344
      deposited             117.648                 -8.17386                 -4.37541
          penis             117.648                 -8.17386                  -4.0469
       consumer             117.648                 -8.17386                 -4.44738
    unsolicited             117.648                 -8.17386                 -4.25762
        earning             117.648                 -8.17386                 -4.57454
              n             117.629                 -4.53627                 -3.11868
          cause             117.604                 -5.46581                 -3.67534
          chart             117.505                 -4.84165                 -6.57263
          peter             117.505                 -4.53627                 -6.70616
             fx             117.505                 -4.04672                 -5.51658
        updated             117.483                 -3.69652                 -4.30827
      contained             117.428                 -6.09442                 -3.64144
            art             117.389                 -7.48071                 -3.99811
       variants             117.319                 -8.17386                 -4.62672
             wi             117.319                 -8.17386                 -3.87295
          penny             117.319                 -8.17386                 -4.59163
             ag             117.319                 -8.17386                 -4.62672
         rhythm             117.319                 -8.17386                 -4.62672
       specific             117.306                 -3.36167                 -3.88139
   instrumental             117.294                 -5.34064                 -7.95893
             gp             117.294                 -5.08282                 -7.95893
        william             117.277                 -4.46029                 -6.45485
         choose             117.276                 -5.68895                 -3.64813
      implement             117.266                  -4.9958                 -7.26578
        manages             117.266                 -5.17813                 -7.26578
    methodology             117.266                 -5.08282                 -6.86031
          india             117.221                 -3.91118                 -5.65634
          phase             117.221                 -4.34522                 -6.16717
       students             117.214                 -3.91118                 -5.60755
        changed             117.196                 -4.18487                  -4.9385
       creation             117.196                 -4.73987                 -6.25418
          party             117.187                 -4.73987                 -3.22712
         africa             117.145                 -6.78756                 -3.77688
             dr             117.145                 -7.07525                 -3.83179
           webb             117.141                 -5.46581                 -8.65207
         travis             117.141                 -5.40127                 -8.65207
          vlady             117.141                 -5.34064                 -8.65207
  proliferation             117.141                 -5.46581                 -8.65207
         recall             117.141                 -5.28349                 -8.65207
         shults             117.141                 -4.95498                 -8.65207
         yvette             117.141                 -5.34064                 -8.65207
        marcelo             117.141                 -4.32371                 -8.65207
     benchmarks             117.141                 -5.46581                 -8.65207
          parra             117.141                 -4.77266                 -8.65207
         apachi             117.141                 -4.91576                 -8.65207
      wellesley             117.141                 -4.95498                 -8.65207
       dietrich             117.141                 -5.03836                 -8.65207
       meredith             117.141                 -5.17813                 -8.65207
        fastest             117.073                 -7.48071                 -4.41797
          notes             117.039                 -3.99947                 -5.51658
         trying              117.01                 -4.04672                 -4.82343
            did             117.001                 -3.07399                 -3.47592
      thinkgeek             116.991                 -8.17386                 -3.96073
           geek             116.991                 -8.17386                 -4.64474
           died             116.991                 -8.17386                 -4.43257
          linda             116.929                 -4.61851                 -6.45485
        acquire             116.841                 -7.07525                 -4.27005
          jokes             116.841                 -7.07525                 -4.41797
        testing             116.796                 -3.83005                  -4.5412
            are              116.79                -0.550216                -0.300463
       although             116.744                 -4.01497                 -4.72025
          words             116.734                 -5.46581                 -3.66164
     underlying             116.689                 -4.43619                 -6.86031
  collaboration             116.663                 -8.17386                 -4.66309
         cialis             116.663                 -8.17386                 -4.34801
         laurel             116.649                 -4.36719                 -7.55346
    evaluations             116.649                 -4.16652                 -7.55346
     scheduling             116.649                 -5.08282                 -7.04264
        current             116.646                 -2.77569                 -2.84996
         joined             116.607                 -4.34522                  -5.4332
            200             116.538                 -5.22942                 -3.64813
         farmer              116.52                 -4.95498                 -6.57263
          kelly              116.52                 -4.84165                 -6.45485
     attendance              116.52                 -4.70812                 -6.57263
     allocation              116.52                 -5.03836                 -6.70616
       intranet              116.52                 -4.87802                 -6.70616
           done             116.466                 -3.02057                 -3.40505
           cool             116.443                 -7.48071                 -4.52494
           high             116.415                  -3.8834                 -2.53618
            300             116.366                 -6.09442                 -3.82376
          loqos             116.336                 -8.17386                 -4.68178
        factual             116.336                 -8.17386                 -4.68178
       exampies             116.336                 -8.17386                 -4.68178
          forum             116.333                 -4.18487                 -5.60755
     consistent             116.331                 -4.73987                 -6.08712
      reviewing             116.331                 -4.70812                 -6.08712
         rather             116.328                 -4.13081                  -4.9385
